totCnt,hasMore,data
393194,True,"{'baseDate': '20240515', 'macAddress': '2b69aa76c834df91d49d5da6fed26644e4cd01290dd97e36fb9c794f59a09580', 'apGroupName': '용담레포츠공원', 'installLocationDetail': '화장실 지붕에 지향 1개', 'category': '공원', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 제주시 용담삼동', 'addressDetail': '제주시 용담삼동 1089(서해안로 580)', 'latitude': '33.51865', 'longitude': '126.499105'}"
393194,True,"{'baseDate': '20240515', 'macAddress': '497ea84addf6536ef722d35d8a480bb23dbb1f8969d400109b77f8928f1f9e91', 'apGroupName': '칠십리공원', 'installLocationDetail': 'CCTV폴에 설치-남', 'category': '공원', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 서귀포시 서홍동', 'addressDetail': '서귀포시 서홍동 2579', 'latitude': '33.245484', 'longitude': '126.55406'}"
393194,True,"{'baseDate': '20240515', 'macAddress': '692df1b5ba8d3d14bc4624697b79f30666422ae752b370b7ecd640a973b6a966', 'apGroupName': '사라봉공원', 'installLocationDetail': '정상 팔각정 기둥 외벽', 'category': '공원', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 제주시 건입동', 'addressDetail': '제주시 건입동 387-1(사라봉동길 74) 정상 팔각정 기둥', 'latitude': '33.518', 'longitude': '126.54492'}"
393194,True,"{'baseDate': '20240515', 'macAddress': 'a28f91627231e9932170410b50f245ae693aea04911fff885d12de28b8c1107d', 'apGroupName': '수운근린공원', 'installLocationDetail': '야외공연장 외벽 북쪽에 무지향 1개', 'category': '공원', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 제주시 이도이동', 'addressDetail': '제주시 이도이동 371', 'latitude': '33.500852', 'longitude': '126.539819'}"
393194,True,"{'baseDate': '20240515', 'macAddress': 'c06447bea7302a5e1f547d1afa4814631b834bc075cab7dc6ea7c150abdcfa81', 'apGroupName': '삼무공원', 'installLocationDetail': 'CCTV폴에 지향 1개', 'category': '공원', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 제주시 연동', 'addressDetail': '제주시 연동 271-9(신대로10길 53)', 'latitude': '33.491809', 'longitude': '126.491473'}"
393194,True,"{'baseDate': '20240515', 'macAddress': '7770d6ffd2670e989cfe10f9ea7b883a665fd6b6ec1e5c0d0b5094d55b093fa1', 'apGroupName': '걸매생태공원', 'installLocationDetail': '방범 CCTV 폴대-북', 'category': '공원', 'categoryDetail': '공원', 'addressDong': '제주특별자치도 서귀포시 서홍동', 'addressDetail': '서귀포시 서홍동 477-1', 'latitude': '33.250739', 'longitude': '126.554451'}"
712792,True,"{'baseDate': '20240515', 'macAddress': 'df68676f207b1f9c507be011ff52eef9d1d4d8b8c2c1a72bfc4af8452c164d6d', 'apGroupName': '천지연폭포', 'installLocationDetail': '폭포쪽 CCTV -북', 'category': '관광지', 'categoryDetail': '공영관광지', 'addressDong': '제주특별자치도 서귀포시 서귀동', 'addressDetail': '서귀포시 서귀동 809', 'latitude': '33.246624', 'longitude': '126.555008'}"
712792,True,"{'baseDate': '20240515', 'macAddress': '74f577a80d60bc6420993fd90b824323395b84cfd051cdbc8830415c06d7cacc', 'apGroupName': '너븐숭이4.3기념관', 'installLocationDetail': '기념관 내부 로비', 'category': '관광지', 'categoryDetail': '공영관광지', 'addressDong': '제주특별자치도 제주시 조천읍 북촌리', 'addressDetail': '제주시 조천읍 북촌리 1599', 'latitude': '33.546066', 'longitude': '126.68865'}"
712792,True,"{'baseDate': '20240515', 'macAddress': '71070cbf2bb66b8267821c7cf8ca5ac5c741d26115840d4126dec853f06675bb', 'apGroupName': '한라수목원', 'installLocationDetail': '구 사무동 1층 방문자휴게실 벽면', 'category': '관광지', 'categoryDetail': '공영관광지', 'addressDong': '제주특별자치도 제주시 연동', 'addressDetail': '제주시 연동 2484(수목원길 72)', 'latitude': '33.469343', 'longitude': '126.492766'}"
712792,True,"{'baseDate': '20240515', 'macAddress': '786b0ecbf438b6985e3f66d76e349dc02d255e43a49f6d59e919e8e2deaa2436', 'apGroupName': '천지연폭포', 'installLocationDetail': '매표소 외벽-동', 'category': '관광지', 'categoryDetail': '공영관광지', 'addressDong': '제주특별자치도 서귀포시 서홍동', 'addressDetail': '서귀포시 서홍동 666-1', 'latitude': '33.244825', 'longitude': '126.560125'}"
712792,True,"{'baseDate': '20240515', 'macAddress': '5c8b2669bbfdedb6e9a2c5f04ec5aefb5f3a4b160ae49970b3084af6ad879478', 'apGroupName': '산악박물관(관음사)', 'installLocationDetail': '산악박물관 (사무동 영상실)', 'category': '관광지', 'categoryDetail': '공영관광지', 'addressDong': '제주특별자치도 제주시 오등동', 'addressDetail': '제주시 오등동 산 180-3', 'latitude': '33.4219', 'longitude': '126.549023'}"
712792,True,"{'baseDate': '20240515', 'macAddress': '0dfd56030d76180180b84bbe2a9e4eca5f99f70a62cae007385ef4c844011956', 'apGroupName': '용두암', 'installLocationDetail': '주차관리실 IP주에 지향 1개', 'category': '관광지', 'categoryDetail': '공영관광지', 'addressDong': '제주특별자치도 제주시 용담이동', 'addressDetail': '제주시 용담이동 483(용두암길 15)', 'latitude': '33.514929', 'longitude': '126.511486'}"
712792,True,"{'baseDate': '20240515', 'macAddress': '70151b77536a2f9dcc91f218c25782edc5319f3e635abe09c15e8832bf9600a7', 'apGroupName': '절물자연휴양림', 'installLocationDetail': '보안등 POLE대 동', 'category': '관광지', 'categoryDetail': '공영관광지', 'addressDong': '제주특별자치도 제주시 봉개동', 'addressDetail': '제주시 봉개동 산78-1(명림로 584)', 'latitude': '33.439632', 'longitude': '126.628766'}"
712792,True,"{'baseDate': '20240515', 'macAddress': '3d5a6011fa7f27ab99523642f2dab8c7a9bc53b542d6e108ac8a9ff64fad0957', 'apGroupName': '관음사(야영장)', 'installLocationDetail': '관리소 벽면', 'category': '관광지', 'categoryDetail': '공영관광지', 'addressDong': '제주특별자치도 제주시 오등동', 'addressDetail': '제주시 오등동 산 180-3', 'latitude': '33.421493', 'longitude': '126.550528'}"
211430,True,"{'baseDate': '20240515', 'macAddress': '056034906c5580d89b37aaf41f2c52030652e5920ffe97eb0d5af968c367b9d9', 'apGroupName': '광치기해변', 'installLocationDetail': '유채밭 앞 가로등-동', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 성산읍 오조리', 'addressDetail': '서귀포시 성산읍 고성동서로 115', 'latitude': '33.454345', 'longitude': '126.925728'}"
211430,True,"{'baseDate': '20240515', 'macAddress': 'abce7731578f7b717c6a466386330ec50b0f869a89d4c18fec6b9cc5ea9bb912', 'apGroupName': '공천포 포구', 'installLocationDetail': '클린하우스 - 정자', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 남원읍 신례리', 'addressDetail': '서귀포시 남원읍 신례리 72-19', 'latitude': '33.262237', 'longitude': '126.64145'}"
211430,True,"{'baseDate': '20240515', 'macAddress': '7ae7e295500c70014e008f84059a62a661d6668a71e6b005ad3f82fdd7ba9875', 'apGroupName': '서빈백사해수욕장', 'installLocationDetail': '화장실 및 탈의실 옆 동측 KT 강관주-동', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 제주시 우도면 연평리', 'addressDetail': '제주시 우도면 연평리 2512-3', 'latitude': '33.502028', 'longitude': '126.943914'}"
211430,True,"{'baseDate': '20240515', 'macAddress': 'a5d5ead969f3b320af2e4b923e371ff346562e5a451c7b88e91a6a46446c08cd', 'apGroupName': '광치기해변', 'installLocationDetail': '재난 감시카메라 폴대-동', 'category': '해변', 'categoryDetail': '해변', 'addressDong': '제주특별자치도 서귀포시 성산읍 고성리', 'addressDetail': '서귀포시 성산읍 고성리 127-7 앞(섭지코지로 93-15)', 'latitude': '33.434339', 'longitude': '126.926262'}"
