index,session_id,baseDate,movingPath,pathSize,movingCount
0,11,20190602,"['10', '1코스', '협재해변']",4,1
1,12,20190602,"['11코스', '모슬포중앙시장', '11코스']",3,1
2,15,20190602,"['13코스', '13코스', '운진항', '송악산', '건강과성박물관', '안덕계곡']",11,1
3,16,20190602,"['15코스', '금산공원', '애월해안로']",5,1
4,17,20190602,"['15코스', '송악산', '마라해양도립공원', '산방산', '안덕계곡']",11,1
5,18,20190602,"['15코스', '판포해변(포구)', '15코스', '15코스']",6,1
6,21,20190603,"['11코스', '모슬포중앙시장', '산방산']",5,1
7,22,20190603,"['11코스', '무릉문화의집', '11코스', '11코스', '세리월드_동화속미로공원', '서귀포매일올레시장']",11,1
8,24,20190603,"['14코스', '방림원', '김창열미술관', '방림원']",4,1
9,25,20190603,"['14코스', '14코스', '14코스']",12,1
10,32,20190604,"['14코스', '김창열미술관', '14코스', '남서광마을']",13,1
11,38,20190604,"['용두암', '용두암', '제주민속오일장', '용문마을(서)', '탑동 테마거리', '용문마을(서)', '탑동 테마거리', '탑동 테마거리', '탑동 테마거리']",19,1
12,39,20190604,"['용두암', '한림종합운동장', '용두암']",3,1
13,45,20190605,"['14코스', '생각하는정원', '한라산국립공원']",3,1
14,50,20190606,"['19코스', '19코스', '함덕비석거리(남)', '19코스', '함덕비석거리(남)', '함덕비석거리(남)', '인다마을', '인다마을', '인다마을', '인다마을']",67,1
15,52,20190606,"['20코스', '20코스', '20코스']",7,1
16,53,20190606,"['20코스', '20코스', '20코스']",8,1
17,55,20190606,"['2코스', '환경성질환예방관리센터', '2코스', '환경성질환예방관리센터', 'KT성산포지점']",11,1
18,58,20190606,"['1코스', '걸매생태공원', '아쿠아플라넷', '광치기해변', '아쿠아플라넷']",7,1
19,59,20190606,"['1코스', '비석거리', '칠십리공원_A', '서귀포전천후게이트볼장', '새연교', '동미빌딩', '서귀포매일올레시장']",19,1
20,69,20190607,"['1코스', '중앙로터리', '1코스', '세계조가비박물관', '서귀포시외버스터미날', '세계조가비박물관', '1코스', '이중섭거리']",13,1
21,73,20190608,"['종달리해변', '21코스', '해녀박물관']",6,1
22,76,20190608,"['20코스', '20코스', '일도이동공영주차장', '문예회관', '20코스', '일도이동공영주차장', '20코스', '일도이동공영주차장', '인다마을', '삼무공원', '삼무공원', '인다마을', '인다마을', '인다마을']",26,1
23,78,20190608,"['2코스', 'KT성산포지점', '2코스']",6,1
24,80,20190609,"['비자림', '용문마을(서)', '제주항국제여객터미널']",4,1
25,81,20190609,"['20코스', '성산포항', '우도', '하우목동항', '우도', '서빈백사해수욕장', '우도', '하고수동해수욕장']",8,1
26,82,20190609,"['20코스', '20코스', '20코스', '20코스']",12,1
27,84,20190609,"['1코스', '서귀포시외버스터미날', '성산일출해양도립공원', '성산포수협표선지점', '중앙로터리', '중앙공원', '중앙로터리', '서귀포매일올레시장', '1코스']",15,1
28,85,20190609,"['1코스', '수월봉', '워터월드', '세계조가비박물관', '1코스']",11,1
29,87,20190609,"['7코스', '동미빌딩', '1코스', '세계조가비박물관', '서귀포예술의전당', '세계조가비박물관', '1코스', '동미빌딩']",12,1
30,88,20190609,"['7코스', '상효원', '성산일출해양도립공원', '광치기해변', '성산일출해양도립공원']",7,1
31,91,20190610,"['20코스', '동문시장', '제주국제공항']",4,1
32,94,20190610,"['20코스', '해녀박물관', '제주해녀박물관', '20코스', '해녀박물관', '20코스', '제주해녀박물관', '20코스', '20코스', '20코스', '20코스']",18,1
33,95,20190610,"['2코스', '월평마을', '광치기해변']",4,1
34,98,20190610,"['1코스', '1코스', '세계조가비박물관', '서귀포예술의전당', '산방산', '산방산', '서귀포매일올레시장', '중앙공원', '매일올레시장주차장', '서귀포매일올레시장', '1코스']",17,1
35,99,20190610,"['1코스', '서귀포매일올레시장', '소인국테마파크']",7,1
36,100,20190611,"['19코스', '19코스', '19코스', '19코스', '19코스', '19코스']",27,1
37,101,20190611,"['광치기해변', '성산포항', '성산일출해양도립공원', '광치기해변', '광치기해변', 'KT성산포지점']",12,1
38,102,20190611,"['2코스', 'KT성산포지점', 'KT성산포지점']",6,1
39,104,20190611,"['2코스', '광치기해변', '성산일출해양도립공원', '성산일출해양도립공원', '광치기해변', '성산일출해양도립공원']",8,1
40,109,20190611,"['1코스', '비석거리', '동미빌딩', '솔동산 문화의 거리', '천지연폭포', '새연교', '천지연폭포', '솔동산 문화의 거리', '중앙공원']",22,1
41,110,20190612,"['19코스', '19코스', '19코스']",6,1
42,115,20190612,"['20코스', '20코스', '20코스']",6,1
43,116,20190612,"['20코스', '20코스', '20코스']",6,1
44,119,20190612,"['21코스', '영화의거리', '산지천', '중앙로사거리', '탑동 테마거리', '탑동 테마거리', '문예회관']",9,1
45,122,20190613,"['19코스', '함덕비석거리(남)', '함덕비석거리(남)', '함덕비석거리(남)', '함덕비석거리(남)']",18,1
46,128,20190613,"['21코스', '성산포항', '21코스', '우도', '돌칸이해변', '우도', '서빈백사해수욕장']",5,1
47,129,20190613,"['2코스', 'KT성산포지점', '2코스']",4,2
48,138,20190614,"['소인국테마파크', '강창학경기장', '회수사거리']",5,1
49,140,20190615,"['19코스', '19코스', '함덕비석거리(남)', '19코스', '함덕비석거리(남)', '함덕비석거리(남)']",15,1
50,145,20190615,"['5코스', '거로마을', '거로마을']",6,1
51,146,20190615,"['1코스', '동미빌딩', '청소년문화의집(북)', '걸매생태공원', '7코스']",9,1
52,147,20190615,"['1코스', '강창학경기장', '회수사거리']",5,1
53,149,20190615,"['1코스', '1코스', '서귀포예술의전당', '1코스']",8,1
54,150,20190616,"['19코스', '성읍랜드', '거로마을', '제주국제공항', '거로마을', '거로마을']",16,1
55,151,20190616,"['19코스', '19코스', '19코스', '19코스']",13,1
56,152,20190616,"['19코스', '19코스', '19코스', '19코스', '19코스']",22,1
57,153,20190616,"['광치기해변', 'KT성산포지점', '광치기해변', 'KT성산포지점', '강창학경기장', '서귀포롤러스케이트장', '강창학경기장']",10,1
58,155,20190616,"['20코스', '삼양동선사유적', '삼양검은모래해변', '삼양검은모래해변', '삼양검은모래해변', '사라봉공원', '삼양검은모래해변', '탑동 테마거리', '용담공원', '탑동 테마거리', '삼무공원']",25,1
59,156,20190616,"['2코스', 'KT성산포지점', '2코스']",4,1
60,161,20190617,"['19코스', '19코스', '함덕비석거리(남)']",39,1
61,163,20190617,"['20코스', '만장굴', '20코스']",5,1
62,164,20190617,"['2코스', '20코스', '20코스', '20코스']",6,1
63,165,20190617,"['20코스', '20코스', '20코스']",7,1
64,166,20190617,"['20코스', '해녀박물관', '20코스', '해녀박물관', '20코스']",7,1
65,167,20190617,"['21코스', '우도', '하우목동항', '우도']",3,1
66,180,20190619,"['KT성산포지점', '영화의거리', '산지천', '탑동 테마거리']",3,1
67,183,20190619,"['10', '1코스', '제주국제공항']",2,1
68,185,20190619,"['14코스', '김창열미술관', '월령포구']",4,1
69,186,20190619,"['14코스', '생각하는정원', '생각하는정원']",4,1
70,187,20190619,"['15코스', '제주민속오일장', '방일리공원']",6,1
71,193,20190620,"['용두암', '탑동입구', '영화의거리', '산지천', '탑동입구', '탑동 테마거리']",5,1
72,199,20190620,"['애월해안로', '한담해변', '곽지과물해변', '중문관광단지']",5,1
73,205,20190621,"['14코스', '14코스', '14코스', '한담해변', '곽지과물해변', '애월해안로']",21,1
74,207,20190621,"['애월해안로', '용문마을(서)', '서문가구거리', '서문가구거리', '제주도의회', '제주도의회', '삼무공원']",23,1
75,211,20190622,"['10', '1코스', '운진항', '중문랜드']",7,1
76,212,20190622,"['11코스', '운진항', '산방산']",6,1
77,214,20190622,"['15코스', '협재해변', '중앙공원', '매일올레시장주차장', '중앙공원']",7,1
78,215,20190622,"['15코스', '협재해변', '15코스', '협재해변', '15코스', '협재해변']",10,1
79,219,20190622,"['용두암', '용담해안 카페촌거리', '용담해안 카페촌거리']",4,1
80,221,20190623,"['11코스', '산방산', '모슬포중앙시장']",4,1
81,223,20190623,"['13코스', '탑동입구', '탑동 테마거리', '탑동입구', '탑동 테마거리']",12,1
82,229,20190623,"['용두암', '롯데마트', '원노형', '롯데마트']",6,1
83,234,20190624,"['중문관광단지', '중문·색달해변', '중문관광단지', '믿거나말거나박물관']",5,1
84,238,20190624,"['18코스', '삼양1동', '남서광마을', '남서광마을입구(남)']",5,1
85,241,20190625,"['14코스', '14코스', '협재해변', '환상숲']",6,1
86,242,20190625,"['15코스', '새연교', '새연교', '걸매생태공원']",6,1
87,244,20190625,"['협재해변', '협재해변', '협재해변', '13코스', '송악산']",14,1
88,247,20190625,"['용두암', '이호테우해변', '용두암']",3,1
89,253,20190626,"['국수문화거리', '삼성혈', '국수문화거리', '서문가구거리', '삼성혈', '국수문화거리']",7,1
90,257,20190626,"['한담해변', '애월해안로', '한담해변', '애월해안로', '협재해변', '한담해변', '협재해변', '애월해안로', '한담해변', '협재해변', '애월해안로', '한담해변', '애월해안로', '한담해변']",33,1
91,259,20190626,"['18코스', '18코스', '삼양1동', '일도이동공영주차장']",7,1
92,265,20190627,"['애월해안로', '문예회관', '일도이동공영주차장', '문예회관']",26,1
93,267,20190627,"['18코스', '삼양1동', '삼양검은모래해변', '18코스', '삼양검은모래해변', '삼양1동', '18코스', '삼양검은모래해변', '18코스', '삼양1동', '18코스', '삼양검은모래해변', '삼양1동', '18코스', '삼양1동']",15,1
94,278,20190628,"['13코스', '한림종합운동장', '한림종합운동장']",4,1
95,286,20190629,"['13코스', '모슬포중앙시장', '13코스']",4,1
96,288,20190629,"['15코스', '한림종합운동장', '15코스', '한림종합운동장']",5,1
97,294,20190630,"['용두암', '원노형', '용두암']",4,1
98,296,20190630,"['18코스', '19코스', '함덕비석거리(남)', '19코스', '함덕비석거리(남)', '19코스', '19코스']",20,1
99,301,20190702,"['14코스', '14코스', '14코스', '14코스']",13,1
100,304,20190702,"['애월해안로', '애월해안로', '애월해안로']",10,1
101,310,20190703,"['국수문화거리', '신산공원', '국수문화거리', '신산공원']",6,1
102,311,20190703,"['국수문화거리', '신산공원', '국수문화거리', '삼성혈']",12,1
103,315,20190703,"['10', '1코스', '운진항']",2,1
104,317,20190703,"['15코스', '비자림', '비자림', '15코스']",5,1
105,319,20190703,"['용두암', '삼무공원', '삼무공원', '삼무공원']",17,1
106,320,20190704,"['강창학경기장', '제주장미불빛축제', '강창학경기장', '제주장미불빛축제']",4,1
107,321,20190704,"['11코스', '모슬포중앙시장', '제주국제공항', '11코스']",12,1
108,322,20190704,"['13코스', '협재해변', '13코스']",4,1
109,327,20190704,"['18코스', '삼양1동', '삼양검은모래해변']",3,1
110,328,20190704,"['18코스', '삼양1동', '삼양검은모래해변', '삼양1동', '18코스', '삼양검은모래해변']",6,1
111,330,20190705,"['롯데마트', '케이티앤지', '롯데마트']",4,1
112,331,20190705,"['11코스', '마라해양도립공원', '운진항', '11코스']",7,1
113,334,20190705,"['15코스', '걸매생태공원', '천제연폭포', '안덕계곡']",6,1
114,335,20190705,"['15코스', '동문시장', '동문시장', '칠성로 쇼핑거리', '동문시장', '서문가구거리', '서문시장', '서문가구거리']",9,1
115,336,20190705,"['15코스', '중앙로사거리', '서문가구거리']",6,1
116,340,20190706,"['인다마을', '한라수목원', '삼무공원']",3,1
117,345,20190706,"['애월해안로', '제주민속오일장', '애월해안로', '애월해안로', '제주민속오일장', '제주민속오일장']",13,1
118,346,20190706,"['용두암', '삼무공원', '용두암']",8,1
119,349,20190706,"['18코스', '삼양검은모래해변', '18코스']",3,3
120,354,20190707,"['11코스', '마라해양도립공원', '송악산']",3,1
121,359,20190707,"['용두암', '용두암', '용두암']",7,1
122,364,20190708,"['14코스', '생각하는정원', '14코스', '김창열미술관', '추사적거지']",6,1
123,368,20190708,"['용두암', '원노형', '용두암']",5,1
124,375,20190709,"['14코스', '김창열미술관', '14코스']",5,1
125,376,20190709,"['애월해안로', '용두암', '케이티앤지']",5,1
126,378,20190709,"['용두암', '서문가구거리', '용문마을(서)', '서문가구거리', '용문마을(서)']",11,1
127,381,20190710,"['제주러브랜드', '제주도립미술관', '한담해변', '한담해변', '한담해변']",15,1
128,384,20190710,"['18코스', '화북남문', '화북남문']",6,1
129,388,20190710,"['1코스', '청소년문화의집(북)', '중앙로터리', '천지동자원순환센터', '1코스']",12,1
130,395,20190711,"['5코스', '청소년문화의집(북)', '회수사거리', '월령포구', '곽지과물해변', '제주국제공항']",13,1
131,397,20190711,"['1코스', '중앙로터리', '1코스', '걸매생태공원', '삼무공원']",5,1
132,398,20190711,"['1코스', '서귀포매일올레시장', '청소년문화의집(북)', '동미빌딩', '1코스', '청소년문화의집(북)', '서귀포매일올레시장', '이중섭거리', '서귀포매일올레시장', '1코스']",17,1
133,399,20190711,"['1코스', '칠십리공원_A', '외돌개', '7코스', '서귀포예술의전당', '1코스', '서귀포예술의전당', '회수사거리']",10,1
134,402,20190712,"['20코스', '제주레일바이크', '절물자연휴양림', '솔동산 문화의 거리', '절물자연휴양림', '서귀포매일올레시장']",8,1
135,403,20190712,"['21코스', '우도', '하고수동해수욕장', '우도', '하우목동항', '성산포항']",5,1
136,404,20190712,"['2코스', 'KT성산포지점', '2코스']",6,1
137,406,20190712,"['5코스', '5코스', '5코스']",8,1
138,408,20190712,"['8코스', '주상절리대(제1매표소)', '8코스', '새연교', '새연교', '천지연폭포', '제주조랑말타운', '성읍랜드', '블루마운틴커피테마파크', '일출랜드', '탑동 테마거리', '용담해안 카페촌거리']",17,1
139,409,20190712,"['8코스', '주상절리대(제1매표소)', '8코스', '주상절리대']",4,1
140,410,20190713,"['20코스', '20코스', '20코스']",6,1
141,411,20190713,"['20코스', '20코스', '20코스', '20코스']",10,1
142,412,20190713,"['2코스', '종달리해변', '종달리해변', '혼인지', '성산포수협표선지점', '광치기해변', '성산일출해양도립공원']",19,1
143,414,20190713,"['1코스', '서귀포예술의전당', '세계조가비박물관', '천지동자원순환센터']",5,1
144,415,20190713,"['1코스', '1코스', '세계조가비박물관', '서귀포예술의전당', '천제연폭포', '8코스', '주상절리대', '8코스', '천지연폭포']",16,1
145,416,20190713,"['1코스', '서귀포시외버스터미날', '세리월드_동화속미로공원']",5,1
146,418,20190713,"['1코스', '천지동자원순환센터', '서귀포매일올레시장']",6,1
147,419,20190713,"['7코스', '세계조가비박물관', '걸매생태공원', '세계조가비박물관']",7,1
148,421,20190714,"['20코스', '해녀박물관', '20코스', '성산일출해양도립공원', '광치기해변', '성산일출해양도립공원', '20코스', '광치기해변', '20코스']",9,1
149,422,20190714,"['2코스', '광치기해변', '광치기해변', '2코스']",5,1
150,424,20190714,"['5코스', '중문관광단지', '테디베어뮤지엄', '믿거나말거나박물관', '중문관광단지', '믿거나말거나박물관']",9,1
151,428,20190714,"['9코스', '한라수목원', '곽지과물해변']",5,1
152,429,20190714,"['KT성산포지점', '광치기해변', '성산일출해양도립공원']",4,1
153,432,20190715,"['21코스', '우도', '하우목동항', '20코스']",6,1
154,436,20190715,"['1코스', '서귀포매일올레시장', '1코스', '1코스', '1코스']",15,1
155,438,20190715,"['7코스', '중앙로터리', '중앙로터리']",5,1
156,439,20190715,"['8코스', '백년초박물관', '외돌개']",5,1
157,440,20190716,"['2코스', 'KT성산포지점', 'KT성산포지점']",8,1
158,446,20190716,"['5코스', '5코스', '5코스']",8,1
159,447,20190716,"['5코스', '솔동산 문화의 거리', '비석거리']",5,1
160,449,20190716,"['1코스', '동미빌딩', '청소년문화의집(북)', '중앙로터리']",11,1
161,450,20190717,"['20코스', '20코스', '해녀박물관', '20코스']",7,1
162,452,20190717,"['1코스', '세계조가비박물관', '서귀포예술의전당', '세계조가비박물관', '1코스']",6,1
163,456,20190717,"['7코스', '걸매생태공원', '세계조가비박물관', '서귀포예술의전당']",5,1
164,457,20190717,"['8코스', '주상절리대', '8코스']",4,1
165,458,20190717,"['걸매생태공원', '세계조가비박물관', '서귀포전천후게이트볼장']",6,1
166,460,20190718,"['21코스', '성산포항', '우도', '하고수동해수욕장']",3,1
167,461,20190718,"['2코스', '제주국제공항', '제주국제공항', '서문가구거리', '서문시장', '서문시장', '서문시장']",19,1
168,463,20190718,"['1코스', '칠십리공원_A', '중앙로터리', '천지동자원순환센터', '세계조가비박물관', '서귀포예술의전당', '건강과성박물관', '안덕계곡', '천제연폭포', '천제연폭포', '천지동자원순환센터', '서귀포매일올레시장', '1코스']",26,1
169,464,20190718,"['7코스', '세리월드_동화속미로공원', '7코스', '서귀포매일올레시장', '7코스', '중문관광단지']",10,1
170,465,20190718,"['8코스', '주상절리대', '제주다원']",3,1
171,468,20190718,"['남서광마을', '남서광마을입구(남)', '남서광마을입구(남)', '남서광마을', '남서광마을', '남서광마을']",14,1
172,471,20190719,"['20코스', '용담해안 카페촌거리', '용담레포츠공원']",3,1
173,475,20190719,"['1코스', '세계조가비박물관', '7코스', '솔동산 문화의 거리', '1코스', '천지연폭포', '비석거리']",10,1
174,478,20190719,"['7코스', '믿거나말거나박물관', '테디베어뮤지엄', '중문관광단지']",9,1
175,481,20190720,"['20코스', '20코스', '해녀박물관', '20코스', '해녀박물관', '해녀박물관', '교래자연휴양림']",12,1
176,482,20190720,"['1코스', '일도이동공영주차장', '남서광마을', '남서광마을입구(남)']",6,1
177,488,20190720,"['8코스', '산방산', '천제연폭포', '정방폭포', '솔동산 문화의 거리']",7,1
178,490,20190721,"['20코스', '20코스', '절물자연휴양림']",7,1
179,494,20190721,"['1코스', '서귀포매일올레시장', '이중섭거리', '솔동산 문화의 거리', '정방폭포', '소암현중화기념관', '정방폭포', '서복전시관', '정방폭포', '정방폭포', '칠십리공원_A', '1코스', '천지동자원순환센터', '남서광마을입구(남)']",24,1
180,495,20190721,"['7코스', '서귀포매일올레시장', '매일올레시장주차장', '서귀포전천후게이트볼장', '걸매생태공원', '세계조가비박물관']",9,1
181,502,20190722,"['21코스', '우도', '망루등대', '우도', '하고수동해수욕장', '21코스']",4,1
182,504,20190722,"['5코스', '천지동자원순환센터', '솔동산 문화의 거리', '청소년문화의집(북)', '중앙공원']",10,1
183,510,20190723,"['21코스', '21코스', '아쿠아플라넷', '광치기해변']",6,1
184,518,20190723,"['8코스', '주상절리대(제1매표소)', '8코스', '주상절리대']",5,1
185,519,20190723,"['8코스', '주상절리대(제1매표소)', '주상절리대', '8코스', '산방산', '제주서커스월드']",13,1
186,521,20190724,"['1코스', '1코스', '성읍랜드', '포니벨리']",5,1
187,522,20190724,"['8코스', '칠십리공원_A', '비석거리', '서귀포매일올레시장']",9,1
188,528,20190724,"['KT성산포지점', '성산포항', '성산포항', '우도', '서빈백사해수욕장', '우도', '돌칸이해변', '우도', '검멀레해수욕장', '우도', '하우목동항', '성산포수협표선지점']",15,1
189,530,20190725,"['20코스', '20코스', '종달리해변', '종달리해변']",11,1
190,531,20190725,"['20코스', '해녀박물관', '20코스', '해녀박물관', '20코스']",7,1
191,537,20190725,"['1코스', '동미빌딩', '1코스', '칠십리공원_A', '천지동자원순환센터', '남서광마을', '남서광마을입구(남)', '남서광마을']",13,1
192,538,20190725,"['1코스', '서귀포매일올레시장', '서귀포매일올레시장']",7,1
193,539,20190725,"['7코스', '서귀포시외버스터미날', '7코스']",3,1
194,541,20190726,"['21코스', '우도', '하우목동항']",2,2
195,542,20190726,"['2코스', '광치기해변', '광치기해변', 'KT성산포지점']",7,1
196,544,20190726,"['7코스', '세계조가비박물관', '7코스']",6,1
197,547,20190726,"['기당미술관', '서귀포예술의전당', '기당미술관', '칠십리공원_A']",10,1
198,559,20190727,"['1코스', '1코스', '중문관광단지', '테디베어뮤지엄', '믿거나말거나박물관']",6,1
199,560,20190728,"['21코스', '우도', '하고수동해수욕장', '우도', '우도', '하우목동항']",4,1
200,561,20190728,"['21코스', '종달리해변', '성산포항', '21코스', '종달리해변', '21코스', '성산포항', '종달리해변', '21코스', '종달리해변', '우도', '망루등대', '우도', '검멀레해수욕장']",12,1
201,563,20190728,"['1코스', '천지동자원순환센터', '1코스']",4,1
202,568,20190728,"['1코스', '서귀포매일올레시장', '동미빌딩', '서귀포시민회관', '중앙공원', '서귀포매일올레시장', '매일올레시장주차장', '1코스']",12,1
203,569,20190728,"['1코스', '세계조가비박물관', '걸매생태공원', '동미빌딩', '1코스', '동미빌딩', '1코스']",10,1
204,570,20190729,"['20코스', '문예회관', '수운근린공원', '수운공원', '수운근린공원']",6,1
205,572,20190729,"['21코스', '20코스', '20코스', '21코스']",6,1
206,573,20190729,"['5코스', '광치기해변', '우도', '하우목동항', '우도', '하우목동항']",8,1
